Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
G;gravity_simulator.cpp;7;6.2790491580963135;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;57;5.006969213485718;0-7;LSB bit-flip;0
f;gravity_simulator.cpp;121;6.137681245803833;0-7;LSB bit-flip;0
distanceBetween;gravity_simulator.cpp;58;1.9136929512023926;0-7;LSB bit-flip;0
b;gravity_simulator.cpp;57;5.97874641418457;0-7;LSB bit-flip;0
x1;gravity_simulator.cpp;29;4.065579891204834;0-7;LSB bit-flip;0
i;gravity_simulator.cpp;129;5.7273640632629395;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;57;2.097597122192383;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;7.365551233291626;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;57;1.9923031330108643;0-7;LSB bit-flip;0
e;gravity_simulator.cpp;114;3.9727137088775635;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;3.220707893371582;0-7;LSB bit-flip;0
b;gravity_simulator.cpp;57;3.5035476684570312;0-7;LSB bit-flip;0
f;gravity_simulator.cpp;121;5.169081449508667;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;2.235635995864868;0-7;LSB bit-flip;0
file;gravity_simulator.cpp;128;6.049534320831299;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;57;3.855977773666382;0-7;LSB bit-flip;0
file;gravity_simulator.cpp;128;1.0786914825439453;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;2.052856683731079;0-7;LSB bit-flip;0
c;gravity_simulator.cpp;100;5.7127685546875;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;86;4.357447147369385;0-7;LSB bit-flip;0
i;gravity_simulator.cpp;129;2.658660411834717;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;1.733032464981079;0-7;LSB bit-flip;0
e;gravity_simulator.cpp;114;0.6329963207244873;0-7;LSB bit-flip;0
f;gravity_simulator.cpp;121;1.347714900970459;0-7;LSB bit-flip;0
d;gravity_simulator.cpp;107;5.772386312484741;0-7;LSB bit-flip;0
d;gravity_simulator.cpp;107;3.6926119327545166;0-7;LSB bit-flip;0
c;gravity_simulator.cpp;100;1.0452961921691895;0-7;LSB bit-flip;0
y1;gravity_simulator.cpp;31;5.284074068069458;0-7;LSB bit-flip;0
d;gravity_simulator.cpp;107;7.014054775238037;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;4.919585466384888;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;2.028676986694336;0-7;LSB bit-flip;0
i;gravity_simulator.cpp;129;6.141138315200806;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;2.7189767360687256;0-7;LSB bit-flip;0
d;gravity_simulator.cpp;107;6.2317140102386475;0-7;LSB bit-flip;0
i;gravity_simulator.cpp;129;3.1366915702819824;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;86;6.198952674865723;0-7;LSB bit-flip;0
i;gravity_simulator.cpp;129;4.0770580768585205;0-7;LSB bit-flip;0
e;gravity_simulator.cpp;114;3.8293344974517822;0-7;LSB bit-flip;0
c;gravity_simulator.cpp;100;3.5134119987487793;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;1.279003381729126;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;57;5.9777703285217285;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;5.318583726882935;0-7;LSB bit-flip;0
file;gravity_simulator.cpp;128;3.3362202644348145;0-7;LSB bit-flip;0
i;gravity_simulator.cpp;129;4.742420196533203;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;2.526226043701172;0-7;LSB bit-flip;0
i;gravity_simulator.cpp;129;5.129563808441162;0-7;LSB bit-flip;0
d;gravity_simulator.cpp;107;6.558041334152222;0-7;LSB bit-flip;0
d;gravity_simulator.cpp;107;0.8897495269775391;0-7;LSB bit-flip;0
d;gravity_simulator.cpp;107;2.347750425338745;0-7;LSB bit-flip;0
e;gravity_simulator.cpp;114;5.017839431762695;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;3.186598062515259;0-7;LSB bit-flip;0
file;gravity_simulator.cpp;128;2.3995702266693115;0-7;LSB bit-flip;0
d;gravity_simulator.cpp;107;7.4969165325164795;0-7;LSB bit-flip;0
c;gravity_simulator.cpp;100;4.4187188148498535;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;57;6.285956621170044;0-7;LSB bit-flip;0
b;gravity_simulator.cpp;57;3.8951854705810547;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;86;1.7325997352600098;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;86;4.042957544326782;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;4.735614538192749;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;3.146745204925537;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;4.5651021003723145;0-7;LSB bit-flip;0
e;gravity_simulator.cpp;114;3.2536702156066895;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;57;4.205851793289185;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;6.968290328979492;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;57;0.4833996295928955;0-7;LSB bit-flip;0
b;gravity_simulator.cpp;93;5.8210790157318115;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;2.8228912353515625;0-7;LSB bit-flip;0
e;gravity_simulator.cpp;114;2.5720767974853516;0-7;LSB bit-flip;0
b;gravity_simulator.cpp;93;6.483180999755859;0-7;LSB bit-flip;0
e;gravity_simulator.cpp;114;7.291396141052246;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;2.414863109588623;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;4.124879598617554;0-7;LSB bit-flip;0
e;gravity_simulator.cpp;114;4.430431365966797;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;86;5.76644229888916;0-7;LSB bit-flip;0
d;gravity_simulator.cpp;107;2.7698118686676025;0-7;LSB bit-flip;0
gravity_force;gravity_simulator.cpp;62;7.6665198802948;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;86;6.530071496963501;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;7.087660551071167;0-7;LSB bit-flip;0
a;gravity_simulator.cpp;57;3.63324236869812;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;7.10486364364624;0-7;LSB bit-flip;0
b;gravity_simulator.cpp;93;4.242506265640259;0-7;LSB bit-flip;0
G;gravity_simulator.cpp;7;7.365233421325684;0-7;LSB bit-flip;0
