Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
a;gravity_simulator.cpp;58;12.480978727340698;0-15;LSB bit-flip
argv;gravity_simulator.cpp;197;9.005315065383911;0-15;LSB bit-flip
argv;gravity_simulator.cpp;197;10.077001333236694;0-15;LSB bit-flip
a;gravity_simulator.cpp;58;1.1350815296173096;0-15;LSB bit-flip
a;gravity_simulator.cpp;58;11.605380535125732;0-15;LSB bit-flip
a;gravity_simulator.cpp;58;13.140730619430542;0-15;LSB bit-flip
argv;gravity_simulator.cpp;197;3.0139639377593994;0-15;LSB bit-flip
a;gravity_simulator.cpp;58;10.315744638442993;0-15;LSB bit-flip
argv;gravity_simulator.cpp;197;7.364687204360962;0-15;LSB bit-flip
argv;gravity_simulator.cpp;197;0.897331714630127;0-15;LSB bit-flip
_dl_skip_args;rtld.c;84;0.328153133392334;0-15;LSB bit-flip
a;gravity_simulator.cpp;58;10.990373611450195;0-15;Random bit-flip
argv;gravity_simulator.cpp;197;14.958860874176025;0-15;Random bit-flip
a;gravity_simulator.cpp;58;13.88164496421814;0-15;Random bit-flip
a;gravity_simulator.cpp;58;2.258934259414673;0-15;Random bit-flip
a;gravity_simulator.cpp;58;13.990166425704956;0-15;Random bit-flip
a;gravity_simulator.cpp;58;3.2585103511810303;0-15;Random bit-flip
file;gravity_simulator.cpp;205;1.5873959064483643;0-15;Random bit-flip
a;gravity_simulator.cpp;58;7.458558082580566;0-15;Random bit-flip
a;gravity_simulator.cpp;58;3.967479705810547;0-15;Random bit-flip
a;gravity_simulator.cpp;58;1.6842169761657715;0-15;Random bit-flip
a;gravity_simulator.cpp;58;9.58975338935852;0-15;Random bit-flip
a;gravity_simulator.cpp;58;9.748938798904419;0-15;Random bit-flip
i;gravity_simulator.cpp;128;12.718290567398071;0-15;Random bit-flip
i;gravity_simulator.cpp;128;13.66145133972168;0-15;Random bit-flip
i;gravity_simulator.cpp;128;14.069750547409058;0-15;Random bit-flip
i;gravity_simulator.cpp;128;14.36159086227417;0-15;Random bit-flip
argv;gravity_simulator.cpp;197;2.8993451595306396;0-15;Zero bit-flip
a;gravity_simulator.cpp;58;3.152256965637207;0-15;Zero bit-flip
argv;gravity_simulator.cpp;197;8.849165916442871;0-15;Zero bit-flip
argv;gravity_simulator.cpp;197;2.156444549560547;0-15;Zero bit-flip
argv;gravity_simulator.cpp;197;1.872471570968628;0-15;Zero bit-flip
firstRun;gravity_simulator.cpp;201;14.23259162902832;0-15;Zero bit-flip
argv;gravity_simulator.cpp;197;8.197201251983643;0-15;Zero bit-flip
secondRun;gravity_simulator.cpp;203;13.858735799789429;0-15;Zero bit-flip
argv;gravity_simulator.cpp;197;7.51674747467041;0-15;Zero bit-flip
argv;gravity_simulator.cpp;197;1.4389028549194336;0-15;Zero bit-flip
a;gravity_simulator.cpp;58;5.550840854644775;0-15;Double bit-flip
a;gravity_simulator.cpp;58;5.4893269538879395;0-15;Double bit-flip
catchp;dl-error.c;180;1.0019056797027588;0-15;Double bit-flip
a;gravity_simulator.cpp;58;9.758587837219238;0-15;Double bit-flip
argv;gravity_simulator.cpp;197;10.4116530418396;0-15;Double bit-flip
result;gravity_simulator.cpp;168;11.56154990196228;0-15;Double bit-flip
argv;gravity_simulator.cpp;197;13.840370893478394;0-15;Single bit-flip
argv;gravity_simulator.cpp;197;3.5127005577087402;0-15;Single bit-flip
argv;gravity_simulator.cpp;197;15.565781593322754;0-15;Single bit-flip
a;gravity_simulator.cpp;58;10.448169946670532;0-15;Single bit-flip
argv;gravity_simulator.cpp;197;4.049572467803955;0-15;Single bit-flip
i;gravity_simulator.cpp;128;1.1952972412109375;0-15;Single bit-flip
