Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
i;gravity_simulator.cpp;151;15.367899179458618;0-18;LSB bit-flip
G;gravity_simulator.cpp;7;11.119950294494629;0-18;LSB bit-flip
e;gravity_simulator.cpp;136;5.550447940826416;0-18;LSB bit-flip
e;gravity_simulator.cpp;136;12.78838038444519;0-18;LSB bit-flip
G;gravity_simulator.cpp;7;15.346795797348022;0-18;LSB bit-flip
G;gravity_simulator.cpp;7;6.2224040031433105;0-18;LSB bit-flip
i;gravity_simulator.cpp;151;5.880040645599365;0-18;LSB bit-flip
i;gravity_simulator.cpp;151;12.011781454086304;0-18;Random bit-flip
G;gravity_simulator.cpp;7;16.972140550613403;0-18;Random bit-flip
e;gravity_simulator.cpp;136;4.41474986076355;0-18;Random bit-flip
G;gravity_simulator.cpp;7;2.4563381671905518;0-18;Random bit-flip
i;gravity_simulator.cpp;151;8.892364263534546;0-18;Random bit-flip
i;gravity_simulator.cpp;151;15.196338176727295;0-18;Random bit-flip
i;gravity_simulator.cpp;151;7.254339694976807;0-18;Random bit-flip
a;gravity_simulator.cpp;108;0.5425059795379639;0-18;Zero bit-flip
c;gravity_simulator.cpp;122;13.423063039779663;0-18;Zero bit-flip
c;gravity_simulator.cpp;122;3.2219882011413574;0-18;Zero bit-flip
f;gravity_simulator.cpp;143;8.389230012893677;0-18;Zero bit-flip
a;gravity_simulator.cpp;71;5.539807081222534;0-18;Zero bit-flip
c;gravity_simulator.cpp;122;9.52503752708435;0-18;Zero bit-flip
a;gravity_simulator.cpp;108;14.090989589691162;0-18;Zero bit-flip
d;gravity_simulator.cpp;129;12.66957139968872;0-18;Zero bit-flip
e;gravity_simulator.cpp;136;12.585753202438354;0-18;Zero bit-flip
e;gravity_simulator.cpp;136;6.405257940292358;0-18;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6996877193450928;0-18;Double bit-flip
i;gravity_simulator.cpp;151;5.2282555103302;0-18;Double bit-flip
i;gravity_simulator.cpp;151;11.928838968276978;0-18;Double bit-flip
