Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
file;gravity_simulator.cpp;150;12.090861320495605;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;9.018950939178467;0-18;LSB bit-flip;0
a;gravity_simulator.cpp;71;5.245555639266968;0-18;LSB bit-flip;0
file;gravity_simulator.cpp;150;15.062335729598999;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;14.394028663635254;0-18;LSB bit-flip;0
e;gravity_simulator.cpp;136;17.19217824935913;0-18;LSB bit-flip;0
i;gravity_simulator.cpp;151;16.145127296447754;0-18;LSB bit-flip;0
x2;gravity_simulator.cpp;44;5.953946352005005;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;2.887629747390747;0-18;LSB bit-flip;0
a;gravity_simulator.cpp;71;5.738330602645874;0-18;LSB bit-flip;0
b;gravity_simulator.cpp;71;4.16746973991394;0-18;LSB bit-flip;0
a;gravity_simulator.cpp;108;9.965822219848633;0-18;LSB bit-flip;0
a;gravity_simulator.cpp;71;1.04172945022583;0-18;LSB bit-flip;0
i;gravity_simulator.cpp;151;10.774474620819092;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;5.803927421569824;0-18;LSB bit-flip;0
i;gravity_simulator.cpp;151;4.005626201629639;0-18;LSB bit-flip;0
e;gravity_simulator.cpp;136;15.840748071670532;0-18;LSB bit-flip;0
file;gravity_simulator.cpp;150;12.795220613479614;0-18;LSB bit-flip;0
a;gravity_simulator.cpp;108;6.307282209396362;0-18;LSB bit-flip;0
d;gravity_simulator.cpp;129;14.81203007698059;0-18;LSB bit-flip;0
gravity_force_original;gravity_simulator.cpp;77;12.227657318115234;0-18;LSB bit-flip;0
e;gravity_simulator.cpp;136;17.87600326538086;0-18;LSB bit-flip;0
i;gravity_simulator.cpp;151;7.960095167160034;0-18;LSB bit-flip;0
c;gravity_simulator.cpp;122;7.899079084396362;0-18;LSB bit-flip;0
f;gravity_simulator.cpp;143;16.46026587486267;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;2.950134754180908;0-18;LSB bit-flip;0
a;gravity_simulator.cpp;71;8.045498371124268;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;9.171123504638672;0-18;LSB bit-flip;0
e;gravity_simulator.cpp;136;14.77407169342041;0-18;LSB bit-flip;0
a;gravity_simulator.cpp;108;6.258283615112305;0-18;LSB bit-flip;0
gravity_force_original;gravity_simulator.cpp;77;2.327077865600586;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;6.124539375305176;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;15.599559783935547;0-18;LSB bit-flip;0
e;gravity_simulator.cpp;136;11.371134996414185;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;12.134395360946655;0-18;LSB bit-flip;0
c;gravity_simulator.cpp;122;9.441991329193115;0-18;LSB bit-flip;0
b;gravity_simulator.cpp;115;14.756440877914429;0-18;LSB bit-flip;0
c;gravity_simulator.cpp;122;3.406466484069824;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;6.027318954467773;0-18;LSB bit-flip;0
c;gravity_simulator.cpp;122;15.407871723175049;0-18;LSB bit-flip;0
e;gravity_simulator.cpp;136;8.522480487823486;0-18;LSB bit-flip;0
d;gravity_simulator.cpp;129;6.508106231689453;0-18;LSB bit-flip;0
a;gravity_simulator.cpp;71;11.274823188781738;0-18;LSB bit-flip;0
f;gravity_simulator.cpp;143;16.030902862548828;0-18;LSB bit-flip;0
b;gravity_simulator.cpp;115;0.8128132820129395;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;8.654026985168457;0-18;LSB bit-flip;0
i;gravity_simulator.cpp;151;1.4677321910858154;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;3.7095930576324463;0-18;LSB bit-flip;0
f;gravity_simulator.cpp;143;4.453909158706665;0-18;LSB bit-flip;0
b;gravity_simulator.cpp;71;13.314746618270874;0-18;LSB bit-flip;0
i;gravity_simulator.cpp;151;10.328770875930786;0-18;LSB bit-flip;0
c;gravity_simulator.cpp;122;16.522669553756714;0-18;LSB bit-flip;0
a;gravity_simulator.cpp;108;1.6614372730255127;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;11.53373384475708;0-18;LSB bit-flip;0
a;gravity_simulator.cpp;71;14.790120840072632;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;6.793032884597778;0-18;LSB bit-flip;0
b;gravity_simulator.cpp;115;2.8839526176452637;0-18;LSB bit-flip;0
e;gravity_simulator.cpp;136;15.667855262756348;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;17.808613300323486;0-18;LSB bit-flip;0
f;gravity_simulator.cpp;143;15.976402282714844;0-18;LSB bit-flip;0
b;gravity_simulator.cpp;115;5.6891820430755615;0-18;LSB bit-flip;0
f;gravity_simulator.cpp;143;11.144908666610718;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;17.26411771774292;0-18;LSB bit-flip;0
e;gravity_simulator.cpp;136;6.777009963989258;0-18;LSB bit-flip;0
b;gravity_simulator.cpp;115;12.474785327911377;0-18;LSB bit-flip;0
b;gravity_simulator.cpp;115;1.7079834938049316;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;13.05270504951477;0-18;LSB bit-flip;0
a;gravity_simulator.cpp;71;1.4330105781555176;0-18;LSB bit-flip;0
d;gravity_simulator.cpp;129;3.1323578357696533;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;11.362343311309814;0-18;LSB bit-flip;0
a;gravity_simulator.cpp;71;11.094823360443115;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;10.536990642547607;0-18;LSB bit-flip;0
gravity_force_original;gravity_simulator.cpp;77;3.1933414936065674;0-18;LSB bit-flip;0
b;gravity_simulator.cpp;71;12.494221448898315;0-18;LSB bit-flip;0
b;gravity_simulator.cpp;115;0.7595696449279785;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;16.42988872528076;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;11.368464946746826;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;6.316266775131226;0-18;LSB bit-flip;0
b;gravity_simulator.cpp;71;16.26555371284485;0-18;LSB bit-flip;0
c;gravity_simulator.cpp;122;11.074032545089722;0-18;LSB bit-flip;0
i;gravity_simulator.cpp;151;17.563990831375122;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;14.200406074523926;0-18;LSB bit-flip;0
G;gravity_simulator.cpp;7;11.398453950881958;0-18;LSB bit-flip;0
a;gravity_simulator.cpp;71;16.939226865768433;0-18;LSB bit-flip;0
c;gravity_simulator.cpp;122;17.27391028404236;0-18;LSB bit-flip;0
e;gravity_simulator.cpp;136;12.631662368774414;0-18;LSB bit-flip;0
a;gravity_simulator.cpp;71;3.327359437942505;0-18;LSB bit-flip;1
sin_original;gravity_simulator.cpp;86;1.3882904052734375;0-18;LSB bit-flip;1
cos_original;gravity_simulator.cpp;81;8.23026967048645;0-18;LSB bit-flip;1
d;gravity_simulator.cpp;129;5.3618409633636475;0-18;LSB bit-flip;1
gravity_force_original;gravity_simulator.cpp;77;12.228240966796875;0-18;LSB bit-flip;1
cos_original;gravity_simulator.cpp;81;12.227017879486084;0-18;LSB bit-flip;1
G;gravity_simulator.cpp;7;14.742387533187866;0-18;LSB bit-flip;1
cos_original;gravity_simulator.cpp;81;1.2830753326416016;0-18;LSB bit-flip;1
gravity_force_original;gravity_simulator.cpp;77;10.123698949813843;0-18;LSB bit-flip;1
G;gravity_simulator.cpp;7;2.6260790824890137;0-18;LSB bit-flip;1
gravity_force_original;gravity_simulator.cpp;77;15.712731122970581;0-18;LSB bit-flip;1
a;gravity_simulator.cpp;61;16.80243754386902;0-18;LSB bit-flip;1
G;gravity_simulator.cpp;7;0.8465290069580078;0-18;Random bit-flip;0
a;gravity_simulator.cpp;71;3.6771597862243652;0-18;Random bit-flip;0
b;gravity_simulator.cpp;115;2.356461763381958;0-18;Random bit-flip;0
a;gravity_simulator.cpp;71;5.426632881164551;0-18;Random bit-flip;0
c;gravity_simulator.cpp;122;8.094071865081787;0-18;Random bit-flip;0
d;gravity_simulator.cpp;129;17.361554861068726;0-18;Random bit-flip;0
d;gravity_simulator.cpp;129;4.042793035507202;0-18;Random bit-flip;0
b;gravity_simulator.cpp;71;2.923290967941284;0-18;Random bit-flip;0
G;gravity_simulator.cpp;7;4.57382345199585;0-18;Random bit-flip;0
b;gravity_simulator.cpp;115;13.175471305847168;0-18;Random bit-flip;0
G;gravity_simulator.cpp;7;17.07535481452942;0-18;Random bit-flip;0
f;gravity_simulator.cpp;143;13.573723554611206;0-18;Random bit-flip;0
b;gravity_simulator.cpp;115;7.286533832550049;0-18;Random bit-flip;0
G;gravity_simulator.cpp;7;2.1168313026428223;0-18;Random bit-flip;0
f;gravity_simulator.cpp;143;1.9939274787902832;0-18;Random bit-flip;0
e;gravity_simulator.cpp;136;2.216810703277588;0-18;Random bit-flip;0
a;gravity_simulator.cpp;71;7.182164192199707;0-18;Random bit-flip;0
a;gravity_simulator.cpp;108;6.01052188873291;0-18;Random bit-flip;0
G;gravity_simulator.cpp;7;5.219189405441284;0-18;Random bit-flip;0
a;gravity_simulator.cpp;71;12.833510160446167;0-18;Random bit-flip;0
f;gravity_simulator.cpp;143;14.32664442062378;0-18;Random bit-flip;0
f;gravity_simulator.cpp;143;3.76991868019104;0-18;Random bit-flip;0
G;gravity_simulator.cpp;7;11.52896499633789;0-18;Random bit-flip;0
e;gravity_simulator.cpp;136;4.2122886180877686;0-18;Random bit-flip;0
b;gravity_simulator.cpp;115;10.376274347305298;0-18;Random bit-flip;0
e;gravity_simulator.cpp;136;17.70134162902832;0-18;Random bit-flip;0
G;gravity_simulator.cpp;7;10.286315679550171;0-18;Random bit-flip;0
G;gravity_simulator.cpp;7;1.922727108001709;0-18;Random bit-flip;0
G;gravity_simulator.cpp;7;12.337569952011108;0-18;Random bit-flip;0
c;gravity_simulator.cpp;122;7.234452486038208;0-18;Random bit-flip;0
G;gravity_simulator.cpp;7;8.489549398422241;0-18;Random bit-flip;0
f;gravity_simulator.cpp;143;5.853633165359497;0-18;Random bit-flip;0
b;gravity_simulator.cpp;115;7.114276885986328;0-18;Random bit-flip;0
f;gravity_simulator.cpp;143;1.6999742984771729;0-18;Random bit-flip;0
b;gravity_simulator.cpp;115;8.465630054473877;0-18;Random bit-flip;0
file;gravity_simulator.cpp;150;1.5559871196746826;0-18;Random bit-flip;0
b;gravity_simulator.cpp;71;2.0194759368896484;0-18;Random bit-flip;0
e;gravity_simulator.cpp;136;8.519145250320435;0-18;Random bit-flip;0
G;gravity_simulator.cpp;7;9.657852411270142;0-18;Random bit-flip;0
d;gravity_simulator.cpp;129;6.375536203384399;0-18;Random bit-flip;0
G;gravity_simulator.cpp;7;3.810365676879883;0-18;Random bit-flip;0
G;gravity_simulator.cpp;7;15.055062532424927;0-18;Random bit-flip;0
b;gravity_simulator.cpp;115;3.346256732940674;0-18;Random bit-flip;0
a;gravity_simulator.cpp;71;11.822571992874146;0-18;Random bit-flip;0
G;gravity_simulator.cpp;7;2.308961868286133;0-18;Random bit-flip;0
G;gravity_simulator.cpp;7;3.6734042167663574;0-18;Random bit-flip;0
d;gravity_simulator.cpp;129;10.313636541366577;0-18;Random bit-flip;0
f;gravity_simulator.cpp;143;13.33954906463623;0-18;Random bit-flip;0
c;gravity_simulator.cpp;122;9.30070161819458;0-18;Random bit-flip;0
