"","errLimit","percentage","benchmark"
"1","0.1",47.4747474747475,"Neton Raphson"
"2","0.2",47.0959595959596,"Neton Raphson"
"3","0.3",46.5909090909091,"Neton Raphson"
"4","0.4",45.959595959596,"Neton Raphson"
"5","0.5",45.4545454545455,"Neton Raphson"
"6","1",38.6363636363636,"Neton Raphson"
"7","2",36.489898989899,"Neton Raphson"
"8","3",36.2373737373737,"Neton Raphson"
"9","4",36.2373737373737,"Neton Raphson"
"10","5",36.1111111111111,"Neton Raphson"
"11","8",36.1111111111111,"Neton Raphson"
"12","10",29.4191919191919,"Neton Raphson"
"13","12",15.2777777777778,"Neton Raphson"
"14","15",14.3939393939394,"Neton Raphson"
