Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
x0;newton_raphson.cpp;32;1.2251229286193848;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.4269261360168457;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.0332984924316406;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.1780891418457031;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;3.4286415576934814;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.343106985092163;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.665313959121704;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.5711736679077148;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.2703771591186523;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.0712947845458984;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.7069809436798096;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.3838026523590088;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.9699749946594238;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.239394187927246;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.9916234016418457;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.693720817565918;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.5603728294372559;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.0267603397369385;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.2405526638031006;0-6;Random bit-flip
x0;newton_raphson.cpp;32;0.8390138149261475;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.3894007205963135;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.6388962268829346;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.8280692100524902;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.0882580280303955;0-6;Random bit-flip
x0;newton_raphson.cpp;32;0.6816039085388184;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.5412228107452393;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.090205430984497;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.8814687728881836;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;2.5359480381011963;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.9315657615661621;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.493821144104004;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.5715048313140869;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.2899575233459473;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.4401512145996094;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.146805763244629;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.9090983867645264;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.727201223373413;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.2225010395050049;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.216796636581421;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.454472303390503;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.9522840976715088;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.8534812927246094;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.7525880336761475;0-6;Random bit-flip
__GI__dl_argv;rtld.c;83;1.4269137382507324;0-6;Random bit-flip
x0;newton_raphson.cpp;32;0.6051356792449951;0-6;Random bit-flip
x0;newton_raphson.cpp;32;0.6741271018981934;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.8998305797576904;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.0351943969726562;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.5329282283782959;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.3238606452941895;0-6;Random bit-flip
PI;newton_raphson.cpp;13;1.0884950160980225;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.8997859954833984;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.496159553527832;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.641322135925293;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.0587573051452637;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.3854804039001465;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.4342985153198242;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.8684935569763184;0-6;Random bit-flip
x0;newton_raphson.cpp;32;0.5961349010467529;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.784714937210083;0-6;Random bit-flip
x0;newton_raphson.cpp;32;0.8348519802093506;0-6;Random bit-flip
x0;newton_raphson.cpp;32;0.9213461875915527;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.5548646450042725;0-6;Random bit-flip
x0;newton_raphson.cpp;32;0.8306963443756104;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.8478264808654785;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.7510027885437012;0-6;Random bit-flip
x0;newton_raphson.cpp;32;0.5446743965148926;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.7612144947052002;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.5779433250427246;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.9278378486633301;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.7217812538146973;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.1327660083770752;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.6367967128753662;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.4881699085235596;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.6658759117126465;0-6;Random bit-flip
x0;newton_raphson.cpp;32;1.6045784950256348;0-6;Random bit-flip
