Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
currIter;newton_raphson.hpp;55;0.9102063179016113;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;0.48831605911254883;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;1.2680816650390625;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;0.81024169921875;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;2.6012933254241943;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;0.8798227310180664;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;1.3631854057312012;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;1.2784311771392822;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.1134133338928223;0-6;Random bit-flip;0
found_root;newton_raphson.hpp;54;1.6164543628692627;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;1.3732290267944336;0-6;Random bit-flip;0
f_x;newton_raphson.hpp;51;1.0066494941711426;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;1.737478494644165;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;0.5727159976959229;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;1.290088176727295;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;1.1759834289550781;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.0933680534362793;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.1059143543243408;0-6;Random bit-flip;0
x;newton_raphson.cpp;10;0.7568418979644775;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;1.1818537712097168;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;0.8774888515472412;0-6;Random bit-flip;0
f_x;newton_raphson.hpp;51;2.109132766723633;0-6;Random bit-flip;0
x;newton_raphson.hpp;35;1.4246325492858887;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;1.3997256755828857;0-6;Random bit-flip;0
currIter;newton_raphson.hpp;55;1.6610116958618164;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;0.42798519134521484;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;1.9103336334228516;0-6;Random bit-flip;0
found_root;newton_raphson.hpp;54;1.1925075054168701;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;0.966217041015625;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;0.9461908340454102;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;1.6883254051208496;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;1.6273064613342285;0-6;Random bit-flip;0
