numberIterationErrors;maxRelativeError;minRelativeError;averageRelativeError;numberErrorsLessThan0.1;numberErrorsLessThan0.2;numberErrorsLessThan0.3;numberErrorsLessThan0.4;numberErrorsLessThan0.5;numberErrorsLessThan1;numberErrorsLessThan2;numberErrorsLessThan3;numberErrorsLessThan4;numberErrorsLessThan5;numberErrorsLessThan8;numberErrorsLessThan10;numberErrorsLessThan12;numberErrorsLessThan15
80000;2.1721252344539086;0.0;2.7151565430673858e-05;79999;79999;79999;79999;79999;79999;79999;80000;80000;80000;80000;80000;80000;80000
837;0.0;0.0;0.0;837;837;837;837;837;837;837;837;837;837;837;837;837;837
80000;11.599312488381113;0.0;0.0001449914061047639;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;80000;80000
837;0.0;0.0;0.0;837;837;837;837;837;837;837;837;837;837;837;837;837;837
12681;0.0;0.0;0.0;12681;12681;12681;12681;12681;12681;12681;12681;12681;12681;12681;12681;12681;12681
80000;0.0;0.0;0.0;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000
837;0.0;0.0;0.0;837;837;837;837;837;837;837;837;837;837;837;837;837;837
80000;10.985711192334069;0.0;0.00013732138990417585;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;80000;80000
40870;259.5194783542968;0.0;36.7301016048014;29220;29256;29289;29320;29360;29685;29998;30050;30050;30050;30050;30353;31246;31498
80000;11.972839602619691;0.0;0.00014966049503274613;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;80000;80000
3543;0.0;0.0;0.0;3543;3543;3543;3543;3543;3543;3543;3543;3543;3543;3543;3543;3543;3543
80000;0.0;0.0;0.0;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000
4401;0.0;0.0;0.0;4401;4401;4401;4401;4401;4401;4401;4401;4401;4401;4401;4401;4401;4401
1722;0.0;0.0;0.0;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722
5224;0.0;0.0;0.0;5224;5224;5224;5224;5224;5224;5224;5224;5224;5224;5224;5224;5224;5224
2632;0.0;0.0;0.0;2632;2632;2632;2632;2632;2632;2632;2632;2632;2632;2632;2632;2632;2632
3098;0.0;0.0;0.0;3098;3098;3098;3098;3098;3098;3098;3098;3098;3098;3098;3098;3098;3098
40473;259.5182963651789;0.0;36.312836249910625;28842;28875;28909;28938;28974;29283;29598;29657;29657;29657;29657;29982;30896;31161
80000;28.801354589111433;0.0;0.0003600169323638929;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999
80000;12481.034899653421;0.0;0.15601293624566775;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80000;9.898311299998108;0.0;0.00012372889124997636;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;80000;80000;80000
80000;10.976224373906962;0.0;0.00013720280467383704;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;80000;80000
