Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
f;newton_raphson.hpp;34;7.686428785324097;1-8;Random bit-flip;0
mxcsr;../sysdeps/i386/fpu/fenv_private.h;444;8.872808694839478;1-8;Random bit-flip;0
f;newton_raphson.hpp;44;5.843838453292847;1-8;Random bit-flip;0
f;newton_raphson.hpp;34;4.761289834976196;1-8;Random bit-flip;0
fDiff;newton_raphson.hpp;45;5.787150621414185;1-8;Random bit-flip;0
results;newton_raphson_dup.cpp;28;1.890404462814331;1-8;Random bit-flip;0
fDiff;newton_raphson.hpp;45;8.33693790435791;1-8;Random bit-flip;0
x;newton_raphson.hpp;35;1.5581276416778564;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;2.396620750427246;1-8;Random bit-flip;1
__p;/usr/include/c++/7/ext/new_allocator.h;116;15.922895193099976;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;5.129222393035889;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;2.1225242614746094;1-8;Random bit-flip;1
maxIter;newton_raphson.hpp;46;2.9830543994903564;1-8;Random bit-flip;1
df_x;newton_raphson.hpp;58;3.4213449954986572;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.3852200508117676;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;4.056809186935425;1-8;Random bit-flip;1
i;newton_raphson_dup.cpp;68;14.22039246559143;1-8;Random bit-flip;1
__for_end;newton_raphson_dup.cpp;0;14.130943536758423;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;3.0258374214172363;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;4.348687171936035;1-8;Random bit-flip;1
A;newton_raphson_dup.cpp;15;2.5417540073394775;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;2.66045880317688;1-8;Random bit-flip;1
__n;/usr/include/c++/7/bits/stl_vector.h;176;15.357619047164917;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;5.510310649871826;1-8;Random bit-flip;1
results;newton_raphson_dup.cpp;28;3.5822041034698486;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;1.5156164169311523;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;3.71337628364563;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.161171913146973;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.790487051010132;1-8;Random bit-flip;1
