PVF ;#flips ;#SDCs ;Var name ;file ;line number
73.05699481865285;193;141;x0;newton_raphson_hardned.cpp;26
78.91156462585033;147;116;x0;newton_raphson.cpp;32
41.509433962264154;212;88;f;newton_raphson.hpp;34
43.08510638297872;188;81;h;newton_raphson.hpp;36
60.747663551401864;107;65;h;newton_raphson.hpp;47
47.32824427480916;131;62;f;newton_raphson.hpp;44
53.63636363636364;110;59;x;newton_raphson.hpp;50
45.3125;128;58;fDiff;newton_raphson.hpp;45
27.906976744186046;172;48;x;newton_raphson.hpp;35
35.294117647058826;119;42;currIter;newton_raphson.hpp;55
72.22222222222221;54;39;f;newton_raphson_hardned.hpp;54
100.0;39;39;fDiff;newton_raphson_hardned.hpp;71
37.5;104;39;found_root;newton_raphson.hpp;54
33.33333333333333;114;38;df_x_too_small;newton_raphson.hpp;53
26.717557251908396;131;35;f_x;newton_raphson.hpp;51
71.11111111111111;45;32;h;newton_raphson_hardned.hpp;56
77.41935483870968;31;24;f;newton_raphson_hardned.hpp;70
51.162790697674424;43;22;f_copy;newton_raphson_hardned.hpp;57
48.57142857142857;35;17;f_copy;newton_raphson_hardned.hpp;80
64.0;25;16;sn;../sysdeps/ieee754/dbl-64/s_sin.c;221
35.0;40;14;f_x;newton_raphson_hardned.hpp;86
11.818181818181818;110;13;delta;newton_raphson.hpp;46
31.25;32;10;a;newton_raphson_hardned.hpp;12
37.03703703703704;27;10;x;newton_raphson_hardned.hpp;55
5.405405405405405;185;10;x;newton_raphson.cpp;10
8.0;100;8;eps;newton_raphson.hpp;46
6.2015503875969;129;8;df_x;newton_raphson.hpp;58
27.27272727272727;22;6;mxcsr;../sysdeps/i386/fpu/fenv_private.h;444
75.0;8;6;cs;../sysdeps/ieee754/dbl-64/s_sin.c;247
7.8125;64;5;__x;/usr/include/c++/7/bits/std_abs.h;70
2.3255813953488373;215;5;user_entry;../elf/dl-sysdep.c;91
80.0;5;4;sn;../sysdeps/ieee754/dbl-64/s_sin.c;247
14.285714285714285;28;4;delta;newton_raphson_hardned.hpp;72
3.508771929824561;114;4;x;newton_raphson_hardned.cpp;6
50.0;8;4;ccs;../sysdeps/ieee754/dbl-64/s_sin.c;247
10.526315789473683;38;4;df_x;newton_raphson_hardned.hpp;99
12.5;24;3;found_root;newton_raphson_hardned.hpp;89
12.0;25;3;eps;newton_raphson_hardned.hpp;72
8.571428571428571;35;3;df_x_too_small;newton_raphson_hardned.hpp;88
1.8181818181818181;165;3;_dl_skip_args;rtld.c;84
100.0;2;2;_IO_strn_jumps;vsnprintf.c;67
50.0;4;2;cs;../sysdeps/ieee754/dbl-64/s_sin.c;160
1.3333333333333335;75;1;results;newton_raphson_dup.cpp;28
0.591715976331361;169;1;_rtld_global_ro;rtld.c;259
2.631578947368421;38;1;b;newton_raphson_hardned.hpp;12
0.628930817610063;159;1;__GI__dl_argv;rtld.c;83
